# Residuals    
# Time         	Ux             	Uy             	Uz             	p              	epsilon        	k              
70             	1.86578840e-002	3.58796980e-003	3.06318020e-002	2.70039770e-002	6.20019950e-004	9.56924800e-003
71             	1.82457540e-002	3.51539940e-003	3.00999460e-002	2.59121470e-002	6.11496700e-004	9.51672930e-003
72             	1.78808740e-002	3.44914270e-003	2.95863250e-002	2.49777770e-002	6.02294180e-004	9.46683940e-003
73             	1.74664130e-002	3.38311930e-003	2.91803360e-002	2.43026550e-002	5.92424110e-004	9.41103800e-003
74             	1.70978590e-002	3.31275630e-003	2.87443500e-002	2.39862950e-002	5.82609770e-004	9.36533170e-003
75             	1.67628380e-002	3.24891350e-003	2.81794130e-002	2.34533480e-002	5.71477440e-004	9.30835600e-003
76             	1.64199170e-002	3.19213160e-003	2.75652910e-002	2.29456670e-002	5.61042980e-004	9.25118030e-003
77             	1.61077130e-002	3.13004870e-003	2.70164400e-002	2.26381770e-002	5.49471660e-004	9.19196290e-003
78             	1.57655670e-002	3.06601240e-003	2.64038810e-002	2.25676990e-002	5.38355930e-004	9.12819000e-003
79             	1.54150710e-002	3.00233320e-003	2.57632740e-002	2.20806000e-002	5.27114430e-004	9.06316750e-003
80             	1.50483550e-002	2.93554960e-003	2.51065520e-002	2.17212630e-002	5.16931640e-004	8.99046270e-003
81             	1.46753140e-002	2.87258770e-003	2.43976440e-002	2.14361410e-002	5.06883150e-004	8.90804210e-003
82             	1.42985560e-002	2.81038840e-003	2.37301250e-002	2.10472060e-002	4.96462500e-004	8.83009570e-003
83             	1.39223410e-002	2.74422390e-003	2.31443580e-002	2.10047080e-002	4.86748190e-004	8.74875370e-003
84             	1.35505570e-002	2.67694530e-003	2.26312070e-002	2.08835710e-002	4.77645790e-004	8.66358800e-003
85             	1.31914160e-002	2.60951220e-003	2.21047680e-002	2.06958400e-002	4.69434730e-004	8.58276480e-003
86             	1.28532040e-002	2.54013080e-003	2.16686520e-002	2.05130800e-002	4.61802920e-004	8.48747920e-003
87             	1.25569010e-002	2.46958080e-003	2.12992190e-002	2.02305550e-002	4.54578040e-004	8.38952630e-003
88             	1.23014940e-002	2.39920430e-003	2.09792780e-002	1.99115980e-002	4.48813440e-004	8.29251190e-003
89             	1.20723010e-002	2.33280150e-003	2.07200840e-002	1.96279520e-002	4.44540040e-004	8.19408270e-003
90             	1.18835840e-002	2.26712180e-003	2.04720960e-002	1.93077120e-002	4.41771580e-004	8.09271430e-003
91             	1.17350270e-002	2.20342140e-003	2.03650100e-002	1.91782710e-002	4.39972090e-004	7.99228440e-003
92             	1.16110970e-002	2.14166170e-003	2.02563480e-002	1.90815490e-002	4.39184460e-004	7.88773580e-003
93             	1.15188610e-002	2.07987180e-003	2.01735370e-002	1.90158220e-002	4.38694850e-004	7.77811840e-003
94             	1.14636340e-002	2.01814100e-003	2.01406840e-002	1.90056000e-002	4.38039440e-004	7.67045800e-003
95             	1.14340290e-002	1.95738780e-003	2.00955090e-002	1.90238420e-002	4.37676120e-004	7.56228210e-003
96             	1.14207070e-002	1.89898030e-003	2.00651720e-002	1.90291500e-002	4.36786290e-004	7.45202110e-003
97             	1.14119590e-002	1.84294140e-003	2.00058640e-002	1.89957060e-002	4.35798470e-004	7.34813050e-003
98             	1.14202180e-002	1.78809540e-003	1.99171160e-002	1.89354930e-002	4.34941750e-004	7.23900280e-003
99             	1.14468680e-002	1.73496010e-003	1.98065120e-002	1.88349520e-002	4.33507290e-004	7.13155440e-003
100            	1.14757250e-002	1.68338610e-003	1.96757430e-002	1.87454350e-002	4.32044040e-004	7.02611320e-003
101            	1.15130140e-002	1.63350320e-003	1.95332990e-002	1.86011240e-002	4.30609580e-004	6.92539220e-003
102            	1.15513900e-002	1.58507600e-003	1.93805430e-002	1.84594100e-002	4.28991220e-004	6.82492930e-003
103            	1.15851700e-002	1.53835270e-003	1.92247190e-002	1.82668960e-002	4.27357910e-004	6.72714850e-003
104            	1.16159750e-002	1.49346490e-003	1.90456130e-002	1.80597910e-002	4.25889550e-004	6.63408850e-003
105            	1.16421020e-002	1.45038310e-003	1.88577250e-002	1.79585230e-002	4.24317610e-004	6.54451670e-003
106            	1.16563530e-002	1.40921640e-003	1.86798680e-002	1.77763510e-002	4.23201260e-004	6.46319610e-003
107            	1.16717520e-002	1.36956640e-003	1.85013420e-002	1.76042570e-002	4.21843560e-004	6.37978030e-003
108            	1.16809050e-002	1.33157340e-003	1.83121550e-002	1.74412830e-002	4.20527000e-004	6.30466540e-003
109            	1.16833050e-002	1.29512850e-003	1.81261010e-002	1.73188110e-002	4.18696350e-004	6.22941950e-003
110            	1.16806600e-002	1.25997490e-003	1.79373150e-002	1.71748940e-002	4.17154100e-004	6.16207560e-003
111            	1.16781570e-002	1.22620210e-003	1.77487170e-002	1.70539320e-002	4.15070260e-004	6.09330290e-003
112            	1.16718330e-002	1.19363930e-003	1.75542830e-002	1.68587900e-002	4.13244770e-004	6.02527120e-003
113            	1.16630920e-002	1.16209970e-003	1.73567270e-002	1.67253020e-002	4.11245500e-004	5.95827770e-003
114            	1.16589260e-002	1.13176340e-003	1.71641030e-002	1.65527040e-002	4.09209430e-004	5.89227340e-003
115            	1.16554150e-002	1.10266070e-003	1.69724920e-002	1.64502410e-002	4.07011440e-004	5.83121680e-003
116            	1.16484830e-002	1.07462460e-003	1.67793590e-002	1.63250620e-002	4.04948270e-004	5.77164200e-003
117            	1.16435540e-002	1.04752780e-003	1.65929340e-002	1.61930970e-002	4.02827880e-004	5.70988510e-003
118            	1.16423590e-002	1.02115580e-003	1.64108860e-002	1.60168420e-002	4.00566780e-004	5.65143050e-003
119            	1.16424120e-002	9.95655850e-004	1.62360290e-002	1.58674190e-002	3.98192260e-004	5.59572870e-003
120            	1.16414270e-002	9.70889160e-004	1.60576830e-002	1.57414660e-002	3.95983810e-004	5.54050100e-003
121            	1.16435950e-002	9.46807460e-004	1.58819350e-002	1.56767840e-002	3.93738680e-004	5.48591130e-003
122            	1.16467250e-002	9.23613970e-004	1.57048930e-002	1.54522870e-002	3.91497740e-004	5.43193930e-003
123            	1.16525030e-002	9.00961070e-004	1.55234370e-002	1.52716940e-002	3.89280210e-004	5.37813130e-003
124            	5.66724280e-002	4.25088450e-003	7.10535050e-002	2.16737030e-001	1.52977140e-003	1.72283580e-002
125            	5.68521370e-002	3.82829950e-003	6.88498490e-002	1.88654060e-001	1.48585160e-003	1.68151140e-002
126            	5.76678960e-002	3.43198150e-003	6.60076900e-002	1.69582470e-001	1.46828230e-003	1.61850750e-002
127            	5.86268050e-002	3.05930980e-003	6.34976890e-002	1.51424530e-001	1.45000780e-003	1.57366740e-002
128            	5.87216940e-002	2.71891900e-003	6.04276260e-002	1.31516280e-001	1.42787860e-003	1.51994640e-002
129            	5.72946760e-002	2.41942560e-003	5.65985210e-002	1.13297240e-001	1.39345100e-003	1.47891100e-002
130            	5.48702130e-002	2.16601340e-003	5.26510080e-002	9.88612800e-002	1.36003400e-003	1.43117650e-002
131            	5.25919500e-002	1.94947930e-003	4.93320450e-002	8.85455410e-002	1.32045690e-003	1.38408580e-002
132            	5.09435490e-002	1.76185850e-003	4.69602050e-002	8.05006280e-002	1.28236350e-003	1.33988470e-002
133            	4.95890770e-002	1.59429190e-003	4.45648840e-002	7.32499700e-002	1.23975780e-003	1.29685280e-002
134            	4.81041580e-002	1.44570730e-003	4.15127770e-002	6.66922830e-002	1.20607150e-003	1.25097360e-002
135            	4.62192280e-002	1.31044380e-003	3.79186260e-002	6.06269680e-002	1.16146340e-003	1.21186460e-002
136            	4.39697590e-002	1.19045180e-003	3.45342310e-002	5.55167050e-002	1.12383440e-003	1.17206590e-002
137            	4.16684590e-002	1.08601660e-003	3.16293070e-002	5.10350070e-002	1.08399410e-003	1.13784970e-002
138            	3.95041650e-002	9.92629350e-004	2.92193850e-002	4.65145400e-002	1.04788740e-003	1.10312050e-002
139            	3.75445150e-002	9.12374530e-004	2.69971370e-002	4.25960470e-002	1.01509930e-003	1.07241820e-002
140            	3.57349190e-002	8.42201420e-004	2.47254760e-002	3.91577110e-002	9.83000460e-004	1.04380300e-002
141            	3.39824330e-002	7.80212600e-004	2.24737930e-002	3.58951850e-002	9.49640070e-004	1.02220730e-002
142            	3.22537820e-002	7.24323610e-004	2.04544460e-002	3.27342380e-002	9.18175630e-004	1.00341520e-002
